ASV,community,degree,intramodule_degree,z_score,P_score,role
3e7c933c821c9f18e53e1dda439951cf,3,29,29,1.2834798426567098,0.0,Ultra-peripheral non-hub
1f4fb4bfdca6c9d13106ed533362a62e,2,7,7,1.2493900951088486,0.0,Ultra-peripheral non-hub
472fdc0687378563f0c9da6da7638e1a,6,18,18,1.2046137299978488,0.0,Ultra-peripheral non-hub
af9554a6cc07a34c1cb6004e3dbb865a,3,27,27,1.0841817304429349,0.0,Ultra-peripheral non-hub
f876e4d5cbaa6ac5f3c225bcaf146791,3,26,26,0.9845326743360475,0.0,Ultra-peripheral non-hub
916d15ab17794198ea4c5ad1e3fb6258,3,25,25,0.8848836182291602,0.0,Ultra-peripheral non-hub
ee14afe4571845779465f8dc9646c7b4,2,6,6,0.8589556903873334,0.0,Ultra-peripheral non-hub
aa9c5ae2ec6da55f30edd92e3de37eff,2,6,6,0.8589556903873334,0.0,Ultra-peripheral non-hub
702860fda44c0d44ddacb5bd79fd5d24,3,24,24,0.7852345621222727,0.0,Ultra-peripheral non-hub
0f4c04cefd226f6854ad0fbc2a2de226,6,15,15,0.7608086715775887,0.0,Ultra-peripheral non-hub
3e524f0bf09623c8530930bb8b27045c,3,23,23,0.6855855060153853,0.0,Ultra-peripheral non-hub
dd07e924156039f8e953d5ea58ab5023,3,22,22,0.5859364499084979,0.0,Ultra-peripheral non-hub
f2fbdc2b912ea775653691981335232f,3,22,22,0.5859364499084979,0.0,Ultra-peripheral non-hub
df20ccfbfc0741ee313d9e9433dbac01,3,22,22,0.5859364499084979,0.0,Ultra-peripheral non-hub
7d537f12eaa3231c2c2b58b74901051c,1,9,9,0.5144715455714828,0.0,Ultra-peripheral non-hub
817555c3b5d93664c38e8fbec64eba2e,3,21,21,0.48628739380161046,0.0,Ultra-peripheral non-hub
f3c13bc899928e8043766ca73a046487,2,5,5,0.46852128566581824,0.0,Ultra-peripheral non-hub
779e393e6ff91129f826c691a0d16db3,2,5,5,0.46852128566581824,0.0,Ultra-peripheral non-hub
85b80813a3be5e162f462e085b709b85,3,20,20,0.38663833769472306,0.0,Ultra-peripheral non-hub
ce264b1fd05f8dfc0dd2941a2b170a3a,3,20,20,0.38663833769472306,0.0,Ultra-peripheral non-hub
a43c475502b54cdee1385dcca3109bfe,6,12,12,0.31700361315732856,0.0,Ultra-peripheral non-hub
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,6,12,12,0.31700361315732856,0.0,Ultra-peripheral non-hub
47515cfa358287ae00ead27b78b2285b,3,18,18,0.18734022548094822,0.0,Ultra-peripheral non-hub
d02e8e093df5064814273f652473189e,6,11,11,0.16906859368390853,0.0,Ultra-peripheral non-hub
212e304679f170a464d2616b3f94a250,1,7,7,0.08917506789905695,0.0,Ultra-peripheral non-hub
4835c874610f20a02421b283dbe2f2b6,3,17,17,0.08769116937406082,0.0,Ultra-peripheral non-hub
7f78afb7e1d45cd528fe9cd909c93fb5,2,4,4,0.0780868809443031,0.0,Ultra-peripheral non-hub
